facility,valid_days,training_daily_mean,training_coverage,eligible,selection_hash,selected
335196,275,58.68643636363637,1.0,True,26039f92c2310b4c1e64290220692799bb4f2449981f9f5f1a3cb3df3f9c11c1,False
335197,275,39.9864,1.0,True,90c66a3fae39878dd04e01ab45ff124efa873c1e3f8c77a2b978e2ea03ae1035,False
335199,275,274.56225454545455,1.0,True,5852ea51b9f5ee0793fe5e2c43672730f6c170e40dcee33e4bf28ca23e23977f,False
335201,275,565.5872363636363,1.0,True,a54d3dc55acac75a3ccd4d279b2fe8bee616b60c3e2805866bcea9fc0c565cb2,False
335202,275,1.278181818181818,1.0,True,9e02b1c187ef8e6b71a30cbb63a451c5cb617ed5feb5934dac7ac66f322ba71a,False
335204,275,26.247672727272725,1.0,True,b40722a7e3a8c6c9de88dc8c28618b541445bf2db3d2d5d1aeb111182408d4f5,False
335208,275,8.840909090909092,1.0,True,ecf988a4c1c4ee93bd3dda196939ec09da4eb5cfa3c61805e7bf63d287c308ca,False
335210,275,4.596072727272728,1.0,True,bd814a3972c7fdad15ac9cf8a8e84ed53b6749494e658ca4120731f20978044c,False
335211,275,54.67181818181818,1.0,True,13f36780a117bfcfbd3c21b448959506694c1df8eebd0c59901478241f37305c,True
335212,275,139.11916363636362,1.0,True,6136cd826f04421db7d1574e9bd5404c8eca65bd87720f19e05ccb46ca6247fc,False
335213,275,62.39552727272727,1.0,True,dec34158507e2b3c412fec5833011c3a4159466216be37f8563477940c81f486,False
335214,275,20.359636363636362,1.0,True,4a50b903e6221712876c1fd73a221edbe6bae36e1b6fc933806842a9b9dbffcb,False
335216,275,0.0,1.0,True,dd06c6d11d587379d5f49ffdf00d3220038d223869609f9cf4b4519f45d5b909,False
335218,275,64.32996363636364,1.0,True,a15251051605b2412f0e56c0bb49dc1c38a265891d9f7832e324e319f0f95cb7,False
335219,275,0.0,1.0,True,82d6cfec342714df5ff68157554df6e558de2b1886ffa073f13efa76bf6ea9af,False
335220,275,24.837454545454545,1.0,True,e8623f6d2a771ee601a41dc441a08327a392b29026e5c2beb52b38a87ab67d6c,False
335224,275,87.02025454545455,1.0,True,54b08a2f584f93431bdd7610554d2829b923fdb2bc832c2521ac9d52f437ff03,False
335225,275,4.119090909090909,1.0,True,7c655806166110413e41972c680dc99837772146e210cf96e61467ac2074ea3b,False
335226,275,94.90385454545455,1.0,True,d7a9ec2ae27940d32e013cc677d4dfd65d66837b33259e6d0f8a3e59aac5aa41,False
335227,275,702.8509454545455,1.0,True,9f03c3a0737e7e86c61fc5baa0ab5155327c33e588feb3d42ca036a2da9f7375,False
335228,275,86.73443636363636,1.0,True,1e30bdbcb08775be0c8510daa1927d5cbe949ecd57ea4a928a7605d318d619d5,False
335229,275,74.24272727272728,1.0,True,0ec4c8652da407c9b3d6b80bb82d8d530c3e1d369b453ab7ec6b302e7f5e0865,True
335231,275,16.203454545454544,1.0,True,98055ff444715e3bffcd672f8ac134ff1fd34c05b14b2e596ab7c3244608d23b,False
335232,275,98.76716363636363,1.0,True,29fcb2e99c21a00fd85a093f4fc905bba6af6120c6099d3590698bd1b68ac3cd,False
335233,275,0.0,1.0,True,45b52d406c178bc3f4c6b851a26baa6268382a9e6e55ae5ae17f33f7a8df917e,False
335236,275,0.0,1.0,True,96a36c4bcd4e6eac07a6f1e4f55085ca792b0a68bb39b6cf4aaf2436c781c9f8,False
335238,275,28.346363636363638,1.0,True,6d85edb68298702b6f8fc528d7505d8f967fb7877b606375da5357c7fd8fd9ff,False
335239,275,48.233745454545456,1.0,True,af7976477d5217f1efe67c9f97b4ca78eaea8155bd66a92e053ba6e5f45e9328,False
335243,275,0.0,1.0,True,2fd3251848f6a434eaf5c3e852ed398876652902234ed8f0bf44250ffec8d7a3,False
335245,275,59.82545454545455,1.0,True,6dca92de53ecf177cccdca8d3ff2621c178d32d9fb2f9bb2653a74a1db55b886,False
335248,275,99.25396363636364,1.0,True,f0a8d4283054e1a494ccaab7331b413b2e64e6279e517cacbd4c720489c2d8ad,False
335249,275,31.248472727272727,1.0,True,f776765349289f05c5b2a391cbceeac771e7ccd735e2acc1e4278c5cecf82231,False
335250,275,206.9481818181818,1.0,True,41331eb549df8a69a4c5a2c868ffb4be18c4b8053b87d4ab8503791d78f0fb0d,False
335252,275,26.078181818181818,1.0,True,9f99ffb4ad2c04fa54b88c19273f3965be6b15fb64c5ecb9dcb3d30cb21fb63a,False
335253,275,0.0,1.0,True,3de26254da33f1db08dfaf39121a4fb584fc5026cbb04bf482f2564d0733122d,False
335254,275,164.6727272727273,1.0,True,6771bc133765112aa4f723fb4456e96a555f235f3276cbf6239df7883038acdf,False
335255,275,0.0,1.0,True,363d4d24e98439512ed4d1e4de381f929204ad6567a22274f8df545d2c5b4fa8,False
335256,275,42.75636363636364,1.0,True,b4e6d2fb0f59f73732850689d04b5c1878d897d4eb4394dabe53d76008dab7e4,False
